Article author,Comments,Barrier/enabler,Domain,CFIR Construct 1
"Chow, 2019","When reflecting on these changes, the participants identified the need for structure and indicated that more structured project planning was required in regards to allocation of resources, timeframes associated with recruitment, ongoing monitoring, off-boarding processes and evaluation activities. All of these were related to the participantsâ€™ view that the roll-out of the implementation was impacted by short timeframes and that it could have benefitted from more details on how to translate the telemonitoring model of care into the community as it evolved: To be better organized, those systems should be settled before the projects are started, so thos ethings should be done before hand and then you know, get the project started. (Participant 5).",Barrier,Inner setting,A3. Work Infrastructure
"Chow, 2019","When reflecting on these changes, the participants identified the need for structure and indicated that more structured project planning was required in regards to allocation of resources, timeframes associated with recruitment, ongoing monitoring, off-boarding processes and evaluation activities. All of these were related to the participantsâ€™ view that the roll-out of the implementation was impacted by short timeframes and that it could have benefitted from more details on how to translate the telemonitoring model of care into the community as it evolved: To be better organized, those systems should be settled before the projects are started, so thos ethings should be done before hand and then you know, get the project started. (Participant 5).",Barrier,Implementation process,D. Planning
"Chow, 2019","When reflecting on these changes, the participants identified the need for structure and indicated that more structured project planning was required in regards to allocation of resources, timeframes associated with recruitment, ongoing monitoring, off-boarding processes and evaluation activities. All of these were related to the participantsâ€™ view that the roll-out of the implementation was impacted by short timeframes and that it could have benefitted from more details on how to translate the telemonitoring model of care into the community as it evolved: To be better organized, those systems should be settled before the projects are started, so thos ethings should be done before hand and then you know, get the project started. (Participant 5).",Enabler,Implementation process,D. Planning
"Chow, 2019","A number of recommendations came out from the interviews. Some of which included the following. Participants mentioned that having more human resources (operations staff) could improve the implementation of telemonitoring. The provision of staff to do case reviews and provide support with equipment management could help with clinician workload and provide a more streamlined work flow:I guess in terms of the clinicians to make sure that they are sort of efficiently resourced and supported, thatâ€™s the nurse-led team in the Primary & Community Health and providing them with the proper resources that they can do their job properly. (Participant 14).",Barrier,Individuals,G. Other Implementation Support
"Chow, 2019","They emphasized the importance of involving GPs from the very beginning. The role of GP was seen as essential for patient selection, for developing a telemonitoring management plan(i.e. how often the patients would perform measurements) and for managing clinical escalations: Iâ€™d involve the GP in the selection process, because pretty much now it depends on, do you have a chronic disease, and whether you have a nurse whoâ€™s willing to support you, the GPâ€™s involved in the relationship a little bit too late. (Participant 6).",Enabler,Implementation process,F1. Innovation Deliverers
"Chow, 2019","The participants also highlighted the importance of more education and reminders about the telemonitoring services available in the community. Educating GPs on availability of such programs would be beneficial as it can be part of their patient care plan, support patients and help reduce cost and burden on the hospital.",Enabler,Inner setting,K. Access to Knowledge & Information
"Chow, 2019","The participants also highlighted the importance of more education and reminders about the telemonitoring services available in the community. Educating GPs on availability of such programs would be beneficial as it can be part of their patient care plan, support patients and help reduce cost and burden on the hospital.",Enabler,Implementation process,F1. Innovation Deliverers
"Chow, 2019","Other strategies to assist with education, awareness and promotion revolve around dissemination of research and evaluation activities, increasing health literacy. An important suggestion by some participants is that of managing the entire program in-house (inclusive of day to day clinical data monitoring and triage):I think that we need to have more education and reminders within the hospital systems and the services available because people do forget after a while and you have changeover of staff. So I think it needs to be a regular engagement process, even if it was on a quarterly, around each of the, cardiac clinic and lung clinic and outpatients of the hospitals and again, you know a catch-up with any new doctors in the area who are across this program, to make sure their referrals continue. (Participant 7)",Enabler,Implementation process,F1. Innovation Deliverers
"Chow, 2019","Other strategies to assist with education, awareness and promotion revolve around dissemination of research and evaluation activities, increasing health literacy. An important suggestion by some participants is that of managing the entire program in-house (inclusive of day to day clinical data monitoring and triage):I think that we need to have more education and reminders within the hospital systems and the services available because people do forget after a while and you have changeover of staff. So I think it needs to be a regular engagement process, even if it was on a quarterly, around each of the, cardiac clinic and lung clinic and outpatients of the hospitals and again, you know a catch-up with any new doctors in the area who are across this program, to make sure their referrals continue. (Participant 7)",Enabler,Inner setting,K. Access to Knowledge & Information
"Chow, 2019","Asset management also appeared as one of the issues during implementation. Due to a lack of identification/asset numbers, it was difficult to identify and manage equipment in a prompt manner. Assigning individualized number to each item would be helpful in future. Some participant led to misuse of device and internet services provided (i.e. tech-savvy family members using data for personal streaming of services): There have been a few instances where theyâ€™ve inappropriately used the internet connection that weâ€™ve provided and when I say inappropriately, downloading movies, downloading music and gaming with the SIM card thatâ€™s been provided for Telemonitoring use. Weâ€™ve had to in some cases turn those SIM cards off because the use has been so high, obviously thereâ€™s a cost associated with that, so the SIM card gets turned off. (Participant 4).",Barrier,Inner setting,A2. Information Technology Infrastructure 
"Chow, 2019","Asset management also appeared as one of the issues during implementation. Due to a lack of identification/asset numbers, it was difficult to identify and manage equipment in a prompt manner. Assigning individualized number to each item would be helpful in future. Some participant led to misuse of device and internet services provided (i.e. tech-savvy family members using data for personal streaming of services): There have been a few instances where theyâ€™ve inappropriately used the internet connection that weâ€™ve provided and when I say inappropriately, downloading movies, downloading music and gaming with the SIM card thatâ€™s been provided for Telemonitoring use. Weâ€™ve had to in some cases turn those SIM cards off because the use has been so high, obviously thereâ€™s a cost associated with that, so the SIM card gets turned off. (Participant 4).",Barrier,Inner setting,Governance
"Chow, 2019","Asset management also appeared as one of the issues during implementation. Due to a lack of identification/asset numbers, it was difficult to identify and manage equipment in a prompt manner. Assigning individualized number to each item would be helpful in future. Some participant led to misuse of device and internet services provided (i.e. tech-savvy family members using data for personal streaming of services): There have been a few instances where theyâ€™ve inappropriately used the internet connection that weâ€™ve provided and when I say inappropriately, downloading movies, downloading music and gaming with the SIM card thatâ€™s been provided for Telemonitoring use. Weâ€™ve had to in some cases turn those SIM cards off because the use has been so high, obviously thereâ€™s a cost associated with that, so the SIM card gets turned off. (Participant 4).",Barrier,Innovation,G. Innovation Design
"Chow, 2019","Asset management also appeared as one of the issues during implementation. Due to a lack of identification/asset numbers, it was difficult to identify and manage equipment in a prompt manner. Assigning individualized number to each item would be helpful in future. Some participant led to misuse of device and internet services provided (i.e. tech-savvy family members using data for personal streaming of services): There have been a few instances where theyâ€™ve inappropriately used the internet connection that weâ€™ve provided and when I say inappropriately, downloading movies, downloading music and gaming with the SIM card thatâ€™s been provided for Telemonitoring use. Weâ€™ve had to in some cases turn those SIM cards off because the use has been so high, obviously thereâ€™s a cost associated with that, so the SIM card gets turned off. (Participant 4).",Barrier,Innovation,Unintended consequences
"Chow, 2019","It was acknowledged by participants that every program will go through changes throughout their life cycle, and this telemonitoring program was no exception. There were changes in the patient cohort as described above, high turn-over in management, operations and lead staff, expansion of program into six of the seven local areas within the district, increase in number of available telemonitoring units( from 20 to over 100), and the model of care (with the addition of more chronic conditions in the inclusion criteria). ",Barrier,Inner setting,A3. Work Infrastructure
"Chow, 2019","It was acknowledged by participants that every program will go through changes throughout their life cycle, and this telemonitoring program was no exception. There were changes in the patient cohort as described above, high turn-over in management, operations and lead staff, expansion of program into six of the seven local areas within the district, increase in number of available telemonitoring units( from 20 to over 100), and the model of care (with the addition of more chronic conditions in the inclusion criteria). ",Barrier,Individuals,E. Implementation Leads
"Chow, 2019","None of the participants had reviewed the TM data via the online portal directly, and only one knew it existed. Participants were also unaware of the option to customise their patientsâ€™ TM parameters, such as thresholds governing normal versus â€˜flaggedâ€™ readings.",Barrier,Implementation process,F1. Innovation Deliverers
"Chow, 2019","Finally, many participants reported their involvement with TM had been at the pilot stage, and they were unaware the service still operated:""So initially, it was a trial and I could put on these six patients and I canâ€™t remember reading information that it was generalized"".",Barrier,Implementation process,F1. Innovation Deliverers
"Chow, 2021","When asked how TM could become â€˜business as usualâ€™ in general practices, many participants requested more education, outreach and ongoing communication about TM. Many participants also requested that communication relating to TM be concise, to suit typically time-poor GPs. Some participants felt that due to a limited involvement with or understanding of the TMprogram, they were unable to adequately assess TMas a tool for use in general practices. ",Barrier,Implementation process,F1. Innovation Deliverers
"Chow, 2021","When asked how TM could become â€˜business as usualâ€™ in general practices, many participants requested more education, outreach and ongoing communication about TM. Many participants also requested that communication relating to TM be concise, to suit typically time-poor GPs. Some participants felt that due to a limited involvement with or understanding of the TMprogram, they were unable to adequately assess TMas a tool for use in general practices. ",Barrier,Individuals,C. Opportunity
"Chow, 2021","When asked how TM could become â€˜business as usualâ€™ in general practices, many participants requested more education, outreach and ongoing communication about TM. Many participants also requested that communication relating to TM be concise, to suit typically time-poor GPs. Some participants felt that due to a limited involvement with or understanding of the TMprogram, they were unable to adequately assess TMas a tool for use in general practices. ",Barrier,Inner setting,K. Access to Knowledge & Information
"Chow, 2021","Despite recognising that some patients benefitted from TM, participants also expressed concerns in relation to actual and potential impacts on patients. Although some witnessed improved patient understanding and management of their health, others did not feel TM could influence patientsâ€™ health behaviours because their subjective feelings took precedence: ""Most of the patients have got their own feeling and most of the time they act according just to what they feel.""",Barrier,Individuals,D. Motivation
"Chow, 2021","Despite recognising that some patients benefitted from TM, participants also expressed concerns in relation to actual and potential impacts on patients. Although some witnessed improved patient understanding and management of their health, others did not feel TM could influence patientsâ€™ health behaviours because their subjective feelings took precedence: ""Most of the patients have got their own feeling and most of the time they act according just to what they feel.""",Barrier,Individuals,B. Capability
"Chow, 2021","Despite recognising that some patients benefitted from TM, participants also expressed concerns in relation to actual and potential impacts on patients. Although some witnessed improved patient understanding and management of their health, others did not feel TM could influence patientsâ€™ health behaviours because their subjective feelings took precedence: ""Most of the patients have got their own feeling and most of the time they act according just to what they feel.""",Barrier,Individuals,I. Innovation Recipients 
"Chow, 2021","Potential negative effects on patient health beliefs were also posited. Potential patient passivity (believing others were responsible for monitoring their health) and patient anxiety (resulting from the increased attention to readings) were seen as concerns: ""I think that wasnâ€™t to [the patientâ€™s] benefit, because [the patient] over exaggerated the readings, even if they [were] normal [the patient] was still worrying about it. This particular patient probably wasnâ€™t the best candidate for telemonitoring.""",Barrier,Individuals,D. Motivation
"Chow, 2021","Potential negative effects on patient health beliefs were also posited. Potential patient passivity (believing others were responsible for monitoring their health) and patient anxiety (resulting from the increased attention to readings) were seen as concerns: ""I think that wasnâ€™t to [the patientâ€™s] benefit, because [the patient] over exaggerated the readings, even if they [were] normal [the patient] was still worrying about it. This particular patient probably wasnâ€™t the best candidate for telemonitoring.""",Barrier,Individuals,B. Capability
"Chow, 2021","Potential negative effects on patient health beliefs were also posited. Potential patient passivity (believing others were responsible for monitoring their health) and patient anxiety (resulting from the increased attention to readings) were seen as concerns: ""I think that wasnâ€™t to [the patientâ€™s] benefit, because [the patient] over exaggerated the readings, even if they [were] normal [the patient] was still worrying about it. This particular patient probably wasnâ€™t the best candidate for telemonitoring.""",Barrier,Innovation,Suitability
"Chow, 2021","Many participants reported concerns about TM being misaligned with or less valid than existing practices. Participants were unsure how clinical liability and risk would be managed when patients were being monitored and given advice in their GPsâ€™ absence: Clinical risky who is taking the responsibility""[If] itâ€™s my responsibility, what about if Iâ€™m not here for example? "".",Barrier,Innovation,C. Innovation Relative Advantage
"Chow, 2021","Many participants reported concerns about TM being misaligned with or less valid than existing practices. Participants were unsure how clinical liability and risk would be managed when patients were being monitored and given advice in their GPsâ€™ absence: Clinical risky who is taking the responsibility""[If] itâ€™s my responsibility, what about if Iâ€™m not here for example? "".",Barrier,Innovation,Trust
"Chow, 2021","Many participants reported concerns about TM being misaligned with or less valid than existing practices. Participants were unsure how clinical liability and risk would be managed when patients were being monitored and given advice in their GPsâ€™ absence: Clinical risky who is taking the responsibility""[If] itâ€™s my responsibility, what about if Iâ€™m not here for example? "".",Barrier,Outer setting,E. Policies & Laws
"Chow, 2021","Participants identified the need for flexible and responsive systems accommodating different ways of working among GPs and staff(i.e. GPs practising across multiple locations or sharing patients with colleagues). Currently, TM data and alerts are transmitted to a patientâ€™s â€˜regularâ€™ GP by fax. Participants reported instances where this led to TM information not being received and reviewed by the GPs providing care: ""We share the patients sometimes I can talk to [another GP] as well and may just decide together itâ€™s just a practice, more like a team.""",Barrier,Inner setting,C. Communications
"Chow, 2021","Participants identified the need for flexible and responsive systems accommodating different ways of working among GPs and staff(i.e. GPs practising across multiple locations or sharing patients with colleagues). Currently, TM data and alerts are transmitted to a patientâ€™s â€˜regularâ€™ GP by fax. Participants reported instances where this led to TM information not being received and reviewed by the GPs providing care: ""We share the patients sometimes I can talk to [another GP] as well and may just decide together itâ€™s just a practice, more like a team.""",Barrier,Inner setting,A2. Information Technology Infrastructure 
"Chow, 2021","Participants identified the need for flexible and responsive systems accommodating different ways of working among GPs and staff(i.e. GPs practising across multiple locations or sharing patients with colleagues). Currently, TM data and alerts are transmitted to a patientâ€™s â€˜regularâ€™ GP by fax. Participants reported instances where this led to TM information not being received and reviewed by the GPs providing care: ""We share the patients sometimes I can talk to [another GP] as well and may just decide together itâ€™s just a practice, more like a team.""",Barrier,Innovation,D. Innovation Adaptability
"Chow, 2021","Some participants had concerns that TM did not produce the same clinical data obtainable via face-to-face consultations. Although many participants recognised that TM data could supplement face-to-face assessment, others doubted the accuracy and validity of self-measurements, or felt numerical data and patient self-report, in the absence of direct GP observation, was inappropriate for clinical decisions: ""Because it seems to me I rely not just on the clinical information. I see the patient, the way he breathes the colour of the patiently for me thatâ€™s as important. Can I take a decision about the patient? I just have to see the patient.""",Barrier,Individuals,B. Capability
"Chow, 2021","Some participants had concerns that TM did not produce the same clinical data obtainable via face-to-face consultations. Although many participants recognised that TM data could supplement face-to-face assessment, others doubted the accuracy and validity of self-measurements, or felt numerical data and patient self-report, in the absence of direct GP observation, was inappropriate for clinical decisions: ""Because it seems to me I rely not just on the clinical information. I see the patient, the way he breathes the colour of the patiently for me thatâ€™s as important. Can I take a decision about the patient? I just have to see the patient.""",Barrier,Innovation,C. Innovation Relative Advantage
"Chow, 2021","Some participants had concerns that TM did not produce the same clinical data obtainable via face-to-face consultations. Although many participants recognised that TM data could supplement face-to-face assessment, others doubted the accuracy and validity of self-measurements, or felt numerical data and patient self-report, in the absence of direct GP observation, was inappropriate for clinical decisions: ""Because it seems to me I rely not just on the clinical information. I see the patient, the way he breathes the colour of the patiently for me thatâ€™s as important. Can I take a decision about the patient? I just have to see the patient.""",Barrier,Innovation,Trust
"Chow, 2021","Many participants felt that greater engagement with TM and referral of more patients would impose potentially unworkable time demands. Greater TM engagement was envisioned as requiring changes to practice operations, either in terms of assistance from other practice staff or specific reimbursement for time devoted to TM duties: ""I think the program is good but the doctors in cities are very time poor so I think if we have a â€“ if doctors have a practice nurse or somebody else who can sit down with the patient, might be [a] good idea. If there is an incentive, I think that might help the program and, you know, may help the GP reimburse their time .""",Barrier,Inner setting,A3. Work Infrastructure
"Chow, 2021",Suboptimal communication and collaboration between TM MoC stakeholders were cited frequently as barriers to its sustained uptake and integration in general practices.,Barrier,Inner setting,C. Communications
"Chow, 2021",Suboptimal communication and collaboration between TM MoC stakeholders were cited frequently as barriers to its sustained uptake and integration in general practices.,Barrier,Inner setting,B. Relational Connections
"Chow, 2021",Participantsâ€™ routine communication preferences ranged from requesting weekly reports to deeming half-yearly summaries sufficient.,Enabler,Innovation,D. Innovation Adaptability
"Chow, 2021","Participants also expressed concerns about ineffective communication of clinical information during day-to-day TM operations: ""Most often, the patient comes before the information has travelled and the patients tell me â€˜Oh, youâ€™ve had a message fromâ€™ and, no, not yet if have the information two days later itâ€™s kind of lost the benefit from it""",Barrier,Innovation,Suitability
"Chow, 2021","Participants also expressed concerns about ineffective communication of clinical information during day-to-day TM operations: ""Most often, the patient comes before the information has travelled and the patients tell me â€˜Oh, youâ€™ve had a message fromâ€™ and, no, not yet if have the information two days later itâ€™s kind of lost the benefit from it""",Barrier,Innovation,G. Innovation Design
"Chow, 2021","Concerns were raised about routine, non-urgent communication, with GPs reporting they did not receive updates with a frequency, format or level of detail that was clinically useful: ""I think at some point I used to receive a report, a monthly report of everything and that was not useful. It was a lot of pages and it wasnâ€™t useful.""",Barrier,Innovation,G. Innovation Design
"Chow, 2021","Concerns were raised about routine, non-urgent communication, with GPs reporting they did not receive updates with a frequency, format or level of detail that was clinically useful: ""I think at some point I used to receive a report, a monthly report of everything and that was not useful. It was a lot of pages and it wasnâ€™t useful.""",Barrier,Innovation,Suitability
"Chow, 2021","Concerns were raised about routine, non-urgent communication, with GPs reporting they did not receive updates with a frequency, format or level of detail that was clinically useful: ""I think at some point I used to receive a report, a monthly report of everything and that was not useful. It was a lot of pages and it wasnâ€™t useful.""",Barrier,Implementation process,B1. Innovation Deliverers
"Chow, 2021","Participants demonstrated poor awareness or recall of the online patient portal; however, they acknowledged its potential usefulness.",Barrier,Implementation process,F1. Innovation Deliverers
"Chow, 2021","Most participants acknowledged TMâ€™s potential to facilitate convenient access to health services for patients, particularly the elderly, those in remote areas and/or those managing chronic conditions. Several participants also reported specific instances where patients had derived reassurance, education or empowerment from TM: ""One [patient] did mention to me that, you know, because [the patient] was quite careless.. and then [thepatient] became careful. So I think that was positive.""",Enabler,Innovation,Accessibility
"Chow, 2021","Most participants acknowledged TMâ€™s potential to facilitate convenient access to health services for patients, particularly the elderly, those in remote areas and/or those managing chronic conditions. Several participants also reported specific instances where patients had derived reassurance, education or empowerment from TM: ""One [patient] did mention to me that, you know, because [the patient] was quite careless.. and then [thepatient] became careful. So I think that was positive.""",Enabler,Individuals,B. Capability
"Chow, 2021","Most participants acknowledged TMâ€™s potential to facilitate convenient access to health services for patients, particularly the elderly, those in remote areas and/or those managing chronic conditions. Several participants also reported specific instances where patients had derived reassurance, education or empowerment from TM: ""One [patient] did mention to me that, you know, because [the patient] was quite careless.. and then [thepatient] became careful. So I think that was positive.""",Enabler,Individuals,D. Motivation
"Chow, 2021","Most participants recognised the potential for regular monitoring, above and beyond face-to-face appointments, to improve patient care. The ability to detect signs of changing health early, initiate timely treatment and avoid deterioration was valued by participants, both as a potential and observed phenomenon: ""We know if itâ€™s really a deterioration in their condition. We know much quicker then. We know many patients are not realising theyâ€™re not well"".",Enabler,Innovation,Suitability
"Chow, 2021","Participants reported that TM did not increase workload or demand on resources within their practices, although many felt this was a result of their current limited number of TM patients.",Enabler,Individuals,C. Opportunity
"Chow, 2021","In addition, although faxing is still the typical mode of communication for most GPs, many participants expressed dissatisfaction with it for receiving information requiring timely attention: ""Electronically downloading to, you know, report to us, I think, would be the most effective way.""",Barrier,Inner setting,A2. Information Technology Infrastructure 
"Chow, 2021","In addition, although faxing is still the typical mode of communication for most GPs, many participants expressed dissatisfaction with it for receiving information requiring timely attention: ""Electronically downloading to, you know, report to us, I think, would be the most effective way.""",Barrier,Innovation,G. Innovation Design
"Chow, 2021","Some participants felt that the TM MoC was insufficiently â€˜team basedâ€™ and collaborative, desiring a system that was more responsive to their needs as individual clinicians.",Barrier,Inner setting,B. Relational Connections
"Chow, 2021","Some participants felt that the TM MoC was insufficiently â€˜team basedâ€™ and collaborative, desiring a system that was more responsive to their needs as individual clinicians.",Barrier,Implementation process,B1. Innovation Deliverers
"Chow, 2021","Limited service capacity: ""Well established headspace centres appeared more able to integrate the [prototype]â€",Barrier,Inner setting,A3. Work Infrastructure
"Chow, 2021","The remaining eight participants were unclear as to the TM patient selection process and generally perceived referral being initiated at hospital: ""Iâ€™m not sure how the patients are recruited never actually had to refer patients directly myself, theyâ€™ve always just been selected from, I think maybe through emergency department patients"".",Barrier,Individuals,B. Capability
"Chow, 2021","The remaining eight participants were unclear as to the TM patient selection process and generally perceived referral being initiated at hospital: ""Iâ€™m not sure how the patients are recruited never actually had to refer patients directly myself, theyâ€™ve always just been selected from, I think maybe through emergency department patients"".",Barrier,Inner setting,K. Access to Knowledge & Information
"Chow, 2021"," None of the participants had reviewed the TM data via the online portal directly, and only one knew it existed. Participants were also unaware of the option to customise their patientsâ€™ TM parameters, such as thresholds governing normal versus â€˜flaggedâ€™ readings. Finally, many participants reported their involvement with TM had been at the pilot stage, and they were unaware the service still operated:
""So initially, it was a trial and I could put on these six patients and I canâ€™t remember reading information that it was generalized"".",Barrier,Individuals,B. Capability
"Chow, 2021"," None of the participants had reviewed the TM data via the online portal directly, and only one knew it existed. Participants were also unaware of the option to customise their patientsâ€™ TM parameters, such as thresholds governing normal versus â€˜flaggedâ€™ readings. Finally, many participants reported their involvement with TM had been at the pilot stage, and they were unaware the service still operated:
""So initially, it was a trial and I could put on these six patients and I canâ€™t remember reading information that it was generalized"".",Barrier,Inner setting,K. Access to Knowledge & Information
"Chow, 2021"," Lack of understanding extended to the roles of personnel involved in the TM program, with many participants unable to differentiate the public health system program coordinators from the nurses employed by the private TM contractor who initially review and respond to monitored data. Participants could recall minimal or no direct interaction with staff involved with the TM program after their patientsâ€™ enrolment, reporting that ongoing monitoring information was mostly received as faxed reports or relayed by patients themselves:

""Iâ€™m pretty sure someone did talk to me a bit about it initially, when the patient was started on it... there hasnâ€™t been any, you know, further report or, or, you know anyone coming to talk to me about how that is going since then"".",Barrier,Inner setting,K. Access to Knowledge & Information
"Chow, 2021","Limited staff numbers and high staff turnover (especially of those performing intake functions), affected young person recruitment numbers and capacity to maintain the implementationâ€¢",Barrier,Inner setting,A3. Work Infrastructure
"de Guzman, 2022","Although GPs expressed concerns with how telehealth implementation interrupts administration processes (that is, organising GP referrals, scripts, or consultation payments) and clinical workflows, ",Barrier,Innovation,F. Compatibility
"de Guzman, 2022","Although GPs expressed concerns with how telehealth implementation interrupts administration processes (that is, organising GP referrals, scripts, or consultation payments) and clinical workflows, ",Barrier,Inner setting,A3. Work Infrastructure
"de Guzman, 2022","Although GPs expressed concerns with how telehealth implementation interrupts administration processes (that is, organising GP referrals, scripts, or consultation payments) and clinical workflows, the need to integrate telehealth services within existing systems was continually emphasised: 'I think it'll be naturally embedded into everyday practice â€¦ we now can flex up and down massively without it changing our workflows because itâ€™s embedded.'",Enabler,Innovation,D. Innovation Adaptability
"de Guzman, 2022","Consumer- led care was highlighted as an important factor in influencing GP decisions to provide telehealth. They spoke about how consumer- led care is driven by business needs, such as keeping existing patients or attracting new patients, and described the importance of patient satisfaction to obtain business profits. The role of high quality care was also discussed to create positive patient experiences and promote financial gain: 'We have to woo clients in. So, itâ€™s a consumer- led thing. I am really big on giving consumers what they want. So, if it said, 60 or 80% of patients want the option of telecare â€¦ and if you don't do it, your practice is going to look old and dated.' 'The patient experience is better, their satisfaction is higher, which leads into the ability to charge, which is, you know in a private business, a big deal â€¦ As a GP and practice owner, youâ€™re more likely to feel comfortable billing someone for a video because itâ€™s a rich experience'",Enabler,Outer setting,C. Local Conditions
"de Guzman, 2022","Consumer- led care was highlighted as an important factor in influencing GP decisions to provide telehealth. They spoke about how consumer- led care is driven by business needs, such as keeping existing patients or attracting new patients, and described the importance of patient satisfaction to obtain business profits. The role of high quality care was also discussed to create positive patient experiences and promote financial gain: 'We have to woo clients in. So, itâ€™s a consumer- led thing. I am really big on giving consumers what they want. So, if it said, 60 or 80% of patients want the option of telecare â€¦ and if you don't do it, your practice is going to look old and dated.' 'The patient experience is better, their satisfaction is higher, which leads into the ability to charge, which is, you know in a private business, a big deal â€¦ As a GP and practice owner, youâ€™re more likely to feel comfortable billing someone for a video because itâ€™s a rich experience'",Enabler,Outer setting,2. Market Pressure
"de Guzman, 2022","Consumer- led care was highlighted as an important factor in influencing GP decisions to provide telehealth. They spoke about how consumer- led care is driven by business needs, such as keeping existing patients or attracting new patients, and described the importance of patient satisfaction to obtain business profits. The role of high quality care was also discussed to create positive patient experiences and promote financial gain: 'We have to woo clients in. So, itâ€™s a consumer- led thing. I am really big on giving consumers what they want. So, if it said, 60 or 80% of patients want the option of telecare â€¦ and if you don't do it, your practice is going to look old and dated.' 'The patient experience is better, their satisfaction is higher, which leads into the ability to charge, which is, you know in a private business, a big deal â€¦ As a GP and practice owner, youâ€™re more likely to feel comfortable billing someone for a video because itâ€™s a rich experience'",Enabler,Innovation,Preference
"de Guzman, 2022","Consumer- led care was highlighted as an important factor in influencing GP decisions to provide telehealth. They spoke about how consumer- led care is driven by business needs, such as keeping existing patients or attracting new patients, and described the importance of patient satisfaction to obtain business profits. The role of high quality care was also discussed to create positive patient experiences and promote financial gain: 'We have to woo clients in. So, itâ€™s a consumer- led thing. I am really big on giving consumers what they want. So, if it said, 60 or 80% of patients want the option of telecare â€¦ and if you don't do it, your practice is going to look old and dated.' 'The patient experience is better, their satisfaction is higher, which leads into the ability to charge, which is, you know in a private business, a big deal â€¦ As a GP and practice owner, youâ€™re more likely to feel comfortable billing someone for a video because itâ€™s a rich experience'",Enabler,Innovation,Choice
"de Guzman, 2022","Despite the potential for telehealth to provide high quality care, GPs felt that telehealth should complement, rather than replace, the traditional in- person model of care. To improve the quality of telehealth care, they highlighted the need for continued research: 'Thereâ€™s potentially a whole field of research that could open up as a result of consultations being done over the phone to make them safer and more effective.'",Enabler,Innovation,D. Innovation Adaptability
"de Guzman, 2022","GPs also spoke about the importance of patient preferences and needs, and how choice of consultation mode is often dictated by patients: 'Phone consultations are driven by patients. They want a phone consultation so they're going to be satisfied with that. They'll not see it as a limit.'",Enabler,Innovation,Choice
"de Guzman, 2022","GPs also spoke about the importance of patient preferences and needs, and how choice of consultation mode is often dictated by patients: 'Phone consultations are driven by patients. They want a phone consultation so they're going to be satisfied with that. They'll not see it as a limit.'",Enabler,Innovation,D. Innovation Adaptability
"de Guzman, 2022","GPs also spoke about the importance of patient preferences and needs, and how choice of consultation mode is often dictated by patients: 'Phone consultations are driven by patients. They want a phone consultation so they're going to be satisfied with that. They'll not see it as a limit.'",Enabler,Innovation,Preference
"de Guzman, 2022","GPs described how their own experiences shaped their use of telehealth. Some expressed that their colleagues were often resistant to new experiences and most described how the delivery of new telehealth services was an ongoing learning process. They spoke about how they had to adapt their practice for telehealth delivery: 'Having to use it in different settings, using it more, and then in situations where we probably wouldn't normally use it, we would prefer to get people in to see them. We were having to adapt a bit to use it in that respect.'",Enabler,Implementation process,I. Adapting
"de Guzman, 2022","GPs described multiple logistical issues that arose after rapid telehealth implementation during COVID- 19. They highlighted the need to refine logistical processes in order to improve telehealth delivery. They explained how lack of infrastructure, particularly for videoconference consultations, made it challenging to provide telehealth: 'If we had more infrastructure, then we would be shown how to use it, but weâ€™ve just never had it properly set up. I think thereâ€™s only been two cameras in clinic, and so they would be moved around to different rooms.'",Barrier,Inner setting,A2. Information Technology Infrastructure 
"de Guzman, 2022","GPs described multiple logistical issues that arose after rapid telehealth implementation during COVID- 19. They highlighted the need to refine logistical processes in order to improve telehealth delivery. They explained how lack of infrastructure, particularly for videoconference consultations, made it challenging to provide telehealth: 'If we had more infrastructure, then we would be shown how to use it, but weâ€™ve just never had it properly set up. I think thereâ€™s only been two cameras in clinic, and so they would be moved around to different rooms.'",Barrier,Inner setting,J3. Materials & Equipment
"de Guzman, 2022","GPs discussed how the availability of COVID- 19 telehealth reimbursement, introduced to help reduce disease transmission, was the main driver for telehealth adoption. Some expressed that they had delivered telephone consultations before COVID- 19 at a cost to themselves. The importance of reimbursement was highlighted when they described how before COVID- 19, patients paid for telehealth out- of- pocket, and now these patients were finally able to receive subsidised care: 'All telehealth started after COVID, after the government funding, I started doing telehealth.' 'I have used telehealth before COVID came for really remote patients, and often that was not funded by Medicare. They funded it themselves. COVID was a real relief, because those patients had suffered a lot from their remoteness and were now able to get help.'",Enabler,Outer setting,F. Financing
"de Guzman, 2022","GPs discussed how the availability of COVID- 19 telehealth reimbursement, introduced to help reduce disease transmission, was the main driver for telehealth adoption. Some expressed that they had delivered telephone consultations before COVID- 19 at a cost to themselves. The importance of reimbursement was highlighted when they described how before COVID- 19, patients paid for telehealth out- of- pocket, and now these patients were finally able to receive subsidised care: 'All telehealth started after COVID, after the government funding, I started doing telehealth.' 'I have used telehealth before COVID came for really remote patients, and often that was not funded by Medicare. They funded it themselves. COVID was a real relief, because those patients had suffered a lot from their remoteness and were now able to get help.'",Enabler,Innovation,Accessibility
